'umra	umrah
Arabian Sea	Laut Arab
Arabian jasmine	melati putih
Arabic	bahasa arab | arab | abjad arab | huruf arab | Arab
Arabisation	arabisasi
Arafura Sea	Laut Arafura
Aragonese	bahasa Aragon
Aral Sea	Laut Aral
Aram	Aram
Aramaic	bahasa aram
Archaean	arkais
Archimedes	Archimedes
Arctic	Arktik | Arktika
Arctic Ocean	Samudra Arktik
Ardennes	Ardennes
Ardèche	Ardèche
Ares	Ares
Argentina	Argentina
Argentine	Argentina
Argentine Republic	Republik Argentina
Ariadne	Ariadne
Arianism	Arianisme
Aries	Aries
Aristophanes	Aristophanes
Aristotelianism	aristotelianisme
Aristotle	Aristoteles
Ariège	Ariège
Arjuna	Arjuna
Ark of the Covenant	Tabut Perjanjian
Arkansas	Arkansas
Arkhangelsk	Arkhangelsk
Arles	Arles
Armageddon	Harmagedon
Armenia	Armenia
Armenian	bahasa Armenia
Armenian Apostolic Church	Gereja Apostolik Armenia
Arminianism	Arminianisme
Arnhem	Arnhem
Art Deco	Art Deco
Art Nouveau	seni baru
Artemis	Artemis
Aruba	Aruba
Asatru	Asatru
Ash Wednesday	Rabu Abu
Ashgabat	Ashgabat
Ashoka	Asoka
Ashura	Asyura
Asia	Asia
Asia Minor	Asia Kecil
Asia-Pacific	Asia Pasifik
Asian	Asia
Asian black bear	beruang hitam Asia
Asian conical hat	capil | caping | terendak
Asian koel	tuwur asia
Asian lion	singa asia | singa india | singa persia
Asian swamp eel	belut sawah
Asperger's syndrome	sindrom Asperger
Assamese	bahasa Assam
Assyria	Asyur
Assyriology	asiriologi
Astana	Astana
Asterix	Asterix
Asturia	Asturias
Asturias	Asturias
Athena	Athena
Athens	Athena
Atlantic Forest	Hutan Atlantik
Atlantic Ocean	Samudra Atlantik
Atlas moth	kupu-kupu gajah
Attica	Attika
Atticism	Attikisme
Attila the Hun	Attila
Aube	Aube
Aude	Aude
August	Agustus
Augustus	Agustus
Australia	Australia
Australian	Australia
Australian magpie	jagal punggung-hitam
Australian rules football	sepak bola australia
Australian white ibis	bis australia
Austria	Austria
Austria-Hungary	Austria-Hongaria
Austrian	Austria
Austronesia	Austronesia
Av	Ab
Averroism	averoisme
Avesta	Avesta
Avestan	bahasa Avesta
Aveyron	Aveyron
Avignon	Avignon
Avogadro's number	bilangan Avogadro
Aymara	bahasa Aymara
Ayurveda	ayurweda
Ayyavazhi	Ayyavazhi
Azerbaijan	Azerbaijan
Azerbaijani	Azerbaijan
Azores	Azores
B	jika
B-sharp	lift
BC	SM
BCG	BCG
BSOD	BSOD
Bab el Mandeb	Bab-el-Mandeb
Babel	Babel
Babylon	Babel
Babylonia	Babilonia
Bachelor of Science	Sarjana Sains
Bactrian camel	Unta Baktrian
Baffin Bay	Teluk Baffin
Baghdad	Bagdad
Bahamas	Bahama
Bahrain	Bahrain
Baikal	Danau Baikal
Bajo language	bahasa Bajo
Baku	Baku
Bakumpai language	bahasa Bakumpai
Balearic Islands	Kepulauan Balears
Bali	Bali
Balikpapan	Balikpapan
Balinese	bahasa Bali | orang Bali
Balkan Peninsula	Balkan
Balkanization	balkanisasi
Balkans	Balkan
Balochistan	Balochistan
Baltic	Laut Baltik
Baltic Sea	Laut Baltik
Bambara	bahasa Bambara
Bamboo Curtain	tirai bambu
Banda Aceh	Banda Aceh
Banda Sea	Laut Banda
Bandar Abbas	Bandar Abbas
Bandar Lampung	Bandar Lampung
Bandar Seri Begawan	Bandar Seri Begawan
Bandung	Bandung
Bangka Belitung Islands	Kepulauan Bangka Belitung
Bangkok	Bangkok
Bangladesh	Bangladesh
Banjarbaru	Banjarbaru
Banjarmasin	Banjarmasin
Banten	Banten
Baphomet	Bafomet
Barbados	Barbados
Barbie	boneka
Barcelona	Barcelona
Barents Sea	Laut Barents
Barnabas	Barnabas
Bartholomew	Bartolomeus
Baruch	Barukh
Basel	Basel
Bashkir	bahasa Bashkir
Basque	Basque
Bass Strait	selat Bass
Basse-Terre	Basse-Terre
Bastia	Bastia
Batam	Batam
Batavian	orang Betawi
Battle of Britain	Pertempuran Britania
Batu	Batu
Baubau	Baubau
Bautzen	Bautzen
Bavaria	Bayern
Bay of Bengal	Teluk Benggala
Bay of Biscay	Teluk Biscay
Bay of Pigs	Teluk Babi
Bačka	Bačka
Beast	binatang
Bedouin	badui
Beelzebub	Beelzebub
Beetle	Kodok
Beijing	Beijing
Beirut	Beirut
Bekasi	Bekasi
Belarus	Belarus | Belarusia
Belarusian	bahasa Belarusia | bahasa Belarus
Belfast	Belfast
Belgian	Belgia
Belgian Congo	Kongo Belgia
Belgian Sheepdog	anjing gembala Belgia
Belgium	Belgia
Belgrade	Beograd
Belinyu	Belinyu
Belize	Belize
Belmopan	Belmopan
Benelux	Benelux
Bengal	Benggala
Bengal tiger	harimau Benggala
Bengali	bahasa bengali
Bengaluru	Bengaluru
Benghazi	Benghazi
Bengkulu	Bengkulu
Benin	Benin
Bergamo	Bergamo
Bering Sea	Laut Bering
Bering Strait	Selat Bering
Berlin	Berlin
Berlin Wall	Tembok Berlin
Berliner	berliner
Bermuda	Bermuda
Bern	Bern
Besançon	Besançon
Betawi	bahasa Betawi | orang Betawi
Betelgeuse	Betelgeuse
Bethlehem	Betlehem
Bharat	Barat
Bhutan	Bhutan
Biarritz	Biarritz
Bible	Alkitab | kitab suci
Bicol	bahasa Bikol
Bicolano	orang Bikol
Big Bang	Ledakan Dahsyat
Bikol	bahasa Bikol
Bima	Bima
Binjai	Binjai
Bird's Head	Kepala Burung
Biscay	Vizcaya
Bishkek	Bishkek
Bitola	Bitola
Bitung	Bitung
Black Death	Kematian Hitam
Black Forest	Hutan Hitam
Black Forest gâteau	kue Black Forest
Black Sea	Laut Hitam
Blanford's fox	rubah blanford
Blitar	Blitar
Bloemfontein	Bloemfontein
Bluey	bajing
Bob's your uncle	Bob adalah pamanmu
Bogor	Bogor
Bogotá	Bogotá
Bohemia	Bohemia
Bohol	Bohol
Bolivia	Bolivia
Bolzano	Bolzano
Bombay	Bombai
Bonaire	Bonaire
Bonapartist	bonapartis
Bonaventure	Bonaventura
Bonifacio	Bonifacio
Bontang	Bontang
Book of Mormon	Kitab Mormon
Book of the Dead	buku kematian
Boolean logic	logika boolean
Bordeaux	Bordeaux
Borduria	Borduria
Bornean clouded leopard	macan dahan sunda
Borneo	Kalimantan
Bose-Einstein condensate	kondensat Bose-Einstein
Bosnia	Bosnia
Bosnia and Herzegovina	Bosnia-Herzegovina | Bosnia dan Herzegovina
Bosphorus	Selat Bosporus
Botswana	Botswana
Bouches-du-Rhône	Bouches-du-Rhône
Bourges	Bourges
Boxing Day	Saint-Étienne
Brahma	Brahma
Brahman	Brahma
Brandenburg	Brandenburg
Brasília	Brasília
Bratislava	Bratislava
Brazil	Brasil | Brazil
Bremen	Bremen
Bridgetown	Bridgetown
Brihaspati	Wrehaspati
Britain	Britania
British	Bangsa Inggris | Bahasa Inggris | Orang Inggris | Orang Inggris Kuno | Orang Pribumi Inggris | Inggris
British English	bahasa Inggris
British Isles	Kepulauan Britania
British Virgin Islands	Kepulauan Virgin Britania Raya
Briton	orang Inggris
Brittany	Bretagne
Brno	Brno
Broca's aphasia	afasia Broca | afasia ekspresif
Brokskat	Brokskat
Bronze Age	Zaman Perunggu
Bruges	Bruges
Brunei	Brunei
Brunswick	Braunschweig
Brussels	Brusel | Brussel | Brussels
Brussels sprout	kubis brussel
Brussels-Capital Region	Daerah Ibu Kota Brussel
Bucharest	Bukares | Bukarest
Buckingham Palace	Istana Buckingham
Budapest	Budapest
Buddha	Buddha | Siddhārtha Gautama
Buddhism	agama Buddha
Bukhara	Bukhara
Bukittinggi	Bukittinggi
Bulgaria	Bulgaria
Bulgarian	bahasa Bulgaria | Bulgaria
Bulgarian Orthodox Church	Gereja Ortodoks Bulgaria
Bunsen burner	pembakar Bunsen
Burgundy	Bourgogne
Burkina Faso	Burkina Faso
Burma	Birma
Burmese	bahasa Myanmar
Burundi	Burundi
Buryatia	Buryatia
Byblos	Byblos
Bydgoszcz	Bydgoszcz
Byzantine Empire	Kekaisaran Romawi Timur
Byzantium	Byzantium
CCP	PKC
CCTV	televisi sirkuit tertutup
COPD	PPOK
Cadix	Cádiz
Cadiz	Cádiz
Caelus	Uranus
Caesar	Caesar | kaisar
Caesarean section	bedah sesar
Caesarism	kaisarisme
Cagayan Valley	Lembah Cagayan
Caiaphas	Kayafas
Cairo	Kairo
Calapan	Calapan
Calcutta	Kalkuta
Calliope	Kalliope
Calvados	Calvados
Calvinism	Kalvinisme
Cambodia	Kamboja
Cambodian	orang Kamboja
Cambrian	Kambrium
Cambrian explosion	letusan Kambrium | radiasi Kambrium
Camelopardalis	Camelopardalis
Cameroon	Kamerun
Campania	Campania
Canaan	Kanaan
Canaan Dog	anjing Kanaan
Canada	Kanada
Canadian	orang kanada
Canadian football	sepak bola
Canary Islands	Kepulauan Canary | Kepulauan Canaria
Canberra	Canberra
Cancer	Kanser | Cancer
Canis Major	Canis Major
Canis Minor	Canis Minor
Cannae	Cannes
Cannizzaro reaction	reaksi Cannizzaro
Cantabria	Cantabria
Cantal	cantal
Cantonese	Kantonis
Cantopop	Pop Hong Kong | Pop Kanton
Cape Town	Cape Town
Cape Verde	Tanjung Verde
Cape of Good Hope	Tanjung Harapan
Capernaum	Kapernaum
Capricorn	Capricornus
Capricornus	Capricornus
Caracas	Caracas
Carcassonne	Carcassonne
Cardiff	Cardiff
Caribbean	Karibia
Caribbean Sea	Laut Karibia
Carina	Karina
Carthage	Kartago
Caspian Sea	Laut Kaspia
Cassiopeia	Cassiopeia
Castile and León	Castilla y León
Castrism	kastroisme
Catalan	katalan | bahasa Katalan
Catholic	Katolik | Katolik Roma
Catholic Church	Gereja Katolik
Catholicism	Katolikisme | katolisisme
Caucasian	putih
Caucasus	Kaukasus
Cayman Islands	Kepulauan Cayman
Cebu	Cebu
Cebuano	bahasa Cebuano
Celsius	Celsius
Celtic Sea	Laut Keltik
Cenozoic	Senozoikum
Centaurus	Centaurus
Central African Empire	Kekaisaran Afrika Tengah
Central African Republic	Republik Afrika Tengah
Central Asia	Asia Tengah
Central Europe	Eropa Tengah
Central Java	Jawa Tengah
Central Luzon	Luzon Tengah
Central Papua	Papua Tengah
Central Powers	Blok Sentral
Central Sulawesi	Sulawesi Tengah
Cephalonia	Kefalonia
Cepheus	Cepheus
Cerberus	Kerberos
Ceres	Ceres
Cetus	Cetus
Ceylon	Ceylon
Chad	Chad
Chagatai	Chagatai
Chaldean Catholic Church	Gereja Katolik Kaldea
Cham	orang Cham
Channel Islands	Kepulauan Channel
Charlemagne	Charlemagne
Charles's law	hukum Charles
Charon	Kharon
Chaubunagungamaug	danau Chaubunagungamaug
Chechnya	Chechnya
Cheddar cheese	keju Cheddar
Chelyabinsk	Chelyabinsk
Chemnitz	Chemnitz
Cheshire cheese	keju Cheshire
Cheshvan	Markesywan
Chicago	Chicago
Chichewa	chichewa
Chile	Chili
Chimera	Khimaira
China	Tiongkok | Cina | Tionghoa
Chinaman	orang Cina | singkek
Chinatown	pecinan
Chinese	Tionghoa | orang Tionghoa | orang Tiongkok | bahasa China | Tiongkok | bahasa Tionghoa
Chinese Crested Dog	anjing berjambul Cina
Chinese New Year	Tahun Baru Imlek | Tahun Baru Tionghoa | sincia
Chinese Taipei	Tionghoa Taipei
Chinese character	Hanzi | aksara Tionghoa
Chinese dragon	liong | naga Cina | naga Tiongkok
Chinese hibiscus	bunga raya | bunga sepatu
Chinese lantern	lampion
Chinese studies	sinologi
Chinese whispers	telepon
Chink	Cina | anak Cina | orang Cina | singkek
Chitral	Chetral | Chitral
Chittagonian	Bahasa Chittagonia
Chișinău	Chișinău
Christ	Al-Masih | Kristus | al-Masih | diurapi
Christadelphian	Kristadelfianisme
Christendom	Kristen
Christian	Kristen | Nasrani
Christian Democracy	Demokrasi Kristen
Christianity	Kristen | Kekristenan | Nasrani
Christianization	kristenisasi | pengkristenan
Christmas	Natal
Christmas Day	Natal
Christmas Eve	malam Natal | malam kudus
Christmas Island	Pulau Natal
Christmas card	kartu Natal
Christmas tree	pohon Natal
Christmastime	kelahiran Yesus
Christopher	Kristofer
Chronicles	Tawarikh
Chrysanthemum Throne	Takhta Krisantemum
Chukchi Sea	Laut Chukchi
Church of England	Gereja Inggris
Church of Ireland	Gereja Irlandia
Church of Jesus Christ of Latter-day Saints	Gereja Yesus Kristus dari Orang-orang Suci Zaman Akhir
Church of Scotland	Gereja Skotlandia
Chuukese	bahasa Chuuk
Cicero	Cicero
Cilegon	Cilegon
Cinderella	Cinderella
Cirebon	Cirebon
Cisjordan	Tepi Barat
Classical Chinese	bahasa Tionghoa Klasik
Classical Malay	Melayu Klasik | bahasa Melayu Klasik
Clio	Kleio
Coca-Cola	Coca-Cola
Coimbra	Coimbra
Coke	3:mobil
Cold War	Perang Dingin
Cologne	Köln
Colombia	Kolombia
Colombo	Kolombo
Colosseum	Koloseum
Columba	merpati
Coma Berenices	Coma Berenices
Commonwealth of Australia	Persemakmuran Australia
Commonwealth of Independent States	Persemakmuran Negara-Negara Merdeka
Commonwealth of Nations	Negara-Negara Persemakmuran
Commonwealth of The Bahamas	Persemakmuran Bahama
Comoros	Komoro
Confucianism	agama konghucu
Congo	Kongo
Congregational church	Gereja Kongregasional
Conservative	bahan pengawet
Constance	Konstanz
Constantinople	Konstantinopel
Conté	konte
Cook Islands	Kepulauan Cook
Copenhagen	Kopenhagen
Copt	Koptik
Coptic	Koptik | Kubti
Coptic Church	Gereja Koptik
Coral Sea	Laut Karang
Corcyra	Corfu
Corfu	Corfu
Cornish	Bahasa Kernowek
Cornwall	Cornwall
Corsica	Korsika
Corsican	Korsika | bahasa Korsika
Corvus	gagak besar
Cosa Nostra	cosa nostra
Costa Rica	Kosta Rika
Council of Europe	Majelis Eropa
Crab Nebula	Nebula Kepiting
Creator	Pencipta
Cree	bentakan
Cretaceous	Kapur
Crimea	Krimea
Crimean Tatar	bahasa Tatar Krimea
Crius	Aries
Croatia	Kroasia
Croatian	Kroasia | bahasa Kroasia
Croatian Sheepdog	anjing gembala Kroasia
Crusade	Perang Salib
Cuba	Kuba
Cup	beker
Cupid	Amor | Kupido
Curaçao	Curaçao
Cygnus	Cygnus
Cynic	sinis
Cyprus	Siprus
Cyrene	Kirene
Cyrillic	Kiril | Sirilik
Cyrus	Koresh
Czech	Ceko
Czech Republic	Republik Ceko | Ceko
Czech hedgehog	landak
Czechia	Ceko
Czecho-Slovakia	Cekoslowakia
Czechoslovakia	Cekoslowakia
Częstochowa	Częstochowa
Córdoba	Kordoba
Côte d'Ivoire	Pantai Gading
D-Day	Hari-H | hari-H
DC	arus searah
DIY	mengakali
DNA	DNA
DPRK	RRDK
DRC	RDK
Daedalus	Daidalos
Daffy Duck	Daffy Bebek
Dagestan	Dagestan
Dahomey	Dahomey
Dakar	Dakar
Dalai Lama	Dalai Lama
Dalmatia	Dalmatia
Dalmatian	Dalmatian
Daltonism	buta warna
Damascus	Damaskus
Dammam	Dammam
Danbo	Danbo
Dane	Denmark
Daniel	Daniel
Danish	Denmark
Danish pastry	tagihan
Danube	Donau
Danzig	Gdańsk
Dardanelles	Selat Dardanella
Darfur	Darfur
Dark Ages	Zaman Kegelapan
Dasher	Sagitta
Davao City	Davao
Davao Region	Wilayah Davao
David	Daud
Dead Sea	Laut Mati
Death	kematian
December	Desember | desember
Delhi	Delhi
Deluge	air bah
Demeter	Demeter
Democratic People's Republic of Korea	Republik Rakyat Demokratik Korea
Democratic Republic of the Congo	Republik Demokratik Kongo
Democritus	Demokreitos
Demotic Greek	dhimotiki
Denmark	Denmark | Kerajaan Denmark
Denpasar	Denpasar
Depok	Depok
Dervish	Darwis
Deuterocanon	Deuterokanonika
Deuteronomy	Ulangan | Kitab Ulangan
Devanagari	dewanagari
Devonian	devon
Dhivehi	bahasa Divehi
Dhu'l-Hijja	Zulhijah
Dhu'l-Qa'da	Zulkaidah
Diocletian	Diocletianus
Diogenes	Diogenes
Diwali	Deepavali | Dipawali
Djibouti	Djibouti
Dnipro	Dnieper
Doctor	doktor
Doha	Doha
Dominic	Dominika
Dominica	Dominika
Dominican Republic	Republik Dominika
Don Quixote	Don Kihote | Don Kisot
Donald Duck	Donal Bebek
Donetsk People's Republic	Republik Rakyat Donetsk
Down syndrome	sindrom Down
Dr	Dr. | dr.
Draco	naga
Dragon Boat Festival	Pecun | Peh Cun
Dravidian	bahasa Dravida
Drenthe	Drenthe
Dresden	Dresden
Druze	Druze
Dubai	Dubai
Dublin	Dublin
Duckburg	Kota Bebek
Dumai	Dumai
Dunhuang	Dunhuang
Dushanbe	Dushanbe
Dutch	Belanda | bahasa Belanda | orang Belanda
Dutch East Indies	Hindia Belanda
Dutch Guiana	Suriname
Dutchman	bahasa Belanda
Dutchwoman	orang Belanda
Dzongkha	bahasa Bhutan
ECE	PAUD
EEZ	ZEE
EMF	GGL
ENT	THT
Earth	Bumi
Earthling	makhluk bumi | penduduk bumi
East	timur
East Asia	Asia Timur
East China Sea	Laut Tiongkok Timur
East Germany	Jerman Timur
East Java	Jatim | Jawa Timur
East Jerusalem	Yerusalem Timur
East Malaysia	Malaysia Timur
East Siberian Sea	Laut Siberia Timur
East Timor	Timor Timur | Timor Leste
Easter	Paskah
Easter Island	Pulau Paskah
Easter Sunday	Minggu Paskah
Easter egg	telur Paskah
Eastern Cape	Tanjung Timur
Eastern Europe	Eropa Timur
Eastern Orthodox Church	Gereja Ortodoks Timur
Ebisu	Ebisu
Ecclesiastes	Kitab Pengkhotbah | Pengkhotbah
Ecuador	Ekuador
Ecuadorian	Ekuador
Edinburg	Edinburgh
Edinburgh	Edinburgh
Edmonton	Edmonton
Egypt	Mesir
Egyptology	egiptologi
Eid	Lebaran
Eid al-Adha	Idul Adha | idul kurban | lebaran haji
Eid al-Fitr	Idul Fitri | Lebaran
Eiffel Tower	Menara Eiffel
Eighty Years' War	Perang Delapan Puluh Tahun
El Salvador	El Salvador
Elephant	gajah
Eli	Eli
Elisha	Elisa
Elizabeth	Elisabet
Elsagate	Elsagate
Elul	Elul
Emily	Emilia
Empedocles	Empedokles
England	Inggris
Englander	orang Inggris
English	Inggris | orang Inggris | bahasa Inggris | inggristis | keinggrisan
English Channel	Selat Inggris
Englishman	orang Inggris
Englishness	keinggrisan
Englishwoman	Inggris
Enlightenment	pencerahan
Eocene	eosen
Ephesians	Efesus | Surat Paulus kepada Jemaat di Efesus
Ephesus	Efesus | Ephesos
Ephraim	Efraim
Epicureanism	epikureanisme
Epimetheus	Epimetheus
Epiphania	Epifani
Epiphany	Epifani
Epirus	Epirus
Equatorial Guinea	Guinea Khatulistiwa
Eris	Eris
Eritrea	Eritrea
Erlenmeyer flask	labu Erlenmeyer
Erythraean	Eritrea
Esdras	Ezra
Esperanto	bahasa Esperanto
Esperantujo	tanah Esperanto
Esther	Ester
Estonia	Estonia
Estonian	Estonia | bahasa Estonia
Eswatini	Eswatini
Ethernet	Ethernet
Ethiopia	Etiopia | Ethiopia
Etruscan	bahasa Etruska
Euboea	Euboia
Eucharist	ekaristi
Euclidean division	pembagian bersisa
Euler's formula	rumus Euler
Euphrates	Efrat
Eurasia	Eurasia
Eurasian black vulture	hering hitam Eurasia
Eurasian blackbird	burung sikatan hitam
Eurasian hobby	alap-alap walet
Eurasian lynx	kucing buas
Eurasian wigeon	itik bungalan
Euro-	Euro-
Eurocent	sen
Europa	Eropa
Europe	Eropa
European Central Bank	Bank Sentral Eropa
European Commission	Komisi Eropa
European Council	Dewan Eropa
European Parliament	Parlemen Eropa
European Union	Uni Eropa
European beaver	berang-berang
European eel	belut
European hare	terwelu
European hedgehog	landak
European plaice	pendeta
European polecat	bukit
European seabass	serigala
Eurovision	Eurovision
Eurozone	Zona Euro
Eurydice	Euridike
Eustachian tube	saluran eustachi
Euterpe	Euterpe
Eve	Hawa | Hava
Exodus	Keluaran | Kitab Keluaran
Ezekiel	Yehezkiel
Ezra	Ezra
FBI	FBI
FRG	RFJ
FUBAR	karatan
FYROM	RMBY
Falkland Islands	Kepulauan Falkland
Far East	Timur Jauh
Faroe Islands	Kepulauan Faeroe
Faroese	Faro
Faroish	Faro
Fata Morgana	fatamorgana
Father	rama | Bapa | Bapa Suci
Father's Day	Hari Ayah
February	februari | Februari
Federal Democratic Republic of Ethiopia	Republik Demokratik Federal Etiopia
Federal Republic of Germany	Republik Federal Jerman
Federated States of Micronesia	Federasi Mikronesia
Federative Republic of Brazil	Republik Federal Brasil
Felix	Felix
Feng	Fung | Phung
Ferris wheel	bianglala | kincir ria
Fez	Fez
Fiji	Fiji
Fijian	bahasa Fiji
Finland	Finlandia
Finn	Finlandia | orang
Finnish	bahasa finlandia | bahasa Finlandia
Finno-Ugric	Finno-Ugrik
First Lady	ibu negara
Five Pillars	rukun islam
Five Precepts	Pancasila
Flanders	Flandria
Fleming	flamingo
Flemish	flamingo
Flevoland	Flevoland
Flood	air bah
Floreana	pulau
Florence	Firenze
Fordism	fordisme
Fountain of Youth	air mancur awet muda
Four Horsemen of the Apocalypse	Empat Penunggang Kuda Akhir Zaman
France	Prancis | Perancis
Franche-Comté	Franche-Comté
Francis	Fransiskus
Franco-	bahasa Perancis
Frankfurt	Frankfurt
Freemasonry	freemasonry
French	bahasa Perancis | Perancis | orang Perancis
French Guiana	Guyana Perancis
French Polynesia	Polinesia Perancis
French Republic	Republik Perancis
French Republican Calendar	Kalender Revolusi Perancis
